16 18
13 15
10 14
12 14
16 11
11 15
28 12
30 11
23 10
21 7
21 8
23 11
20 8
21 9
20 10
16 10
16 12
19 11
13 14
11 13
18 10
20 8
14 11
22 8
16 13
19 11
17 14
10 13
15 11
16 12
8 15
13 13
16 11
16 13
13 13
24 9
27 8
21 8
18 9
16 11
17 11
21 10
20 12
20 11
16 9
17 9
18 9
20 12
11 12
16 13
15 11
16 9
18 9
24 10
22 8
14 9
14 10
18 10
14 10
12 11
17 9
17 17
18 12
20 16
19 15
14 16
13 14
15 15
17 11
17 10
24 11
23 13
21 12
24 9
24 13
25 11
18 15
23 15
16 13
21 19
15 13
21 16
17 18
27 17
18 19
25 19
33 15
27 12
35 11
26 14
31 13
27 17
34 12
39 10
32 12
22 20
18 17
29 16
33 16
32 17
29 15
35 10
26 16
27 14
14 16
25 11
28 13
21 12
22 16
19 17
27 19
30 19
27 25
34 13
30 12
25 17
23 13
21 21
23 25
28 15
23 23
21 17
28 15
11 18
23 16
19 15
23 18
24 13
28 11
30 16
38 16
27 19
23 17
30 10
18 21
33 14
29 12
31 10
22 19
27 17
17 17
29 22
28 17
29 13
29 16
21 18
26 17
34 17
27 15
25 19
32 12
36 11
40 9
34 11
34 11
41 7
37 8
38 8
41 8
30 14
40 12
28 17
31 8
28 10
32 5
18 8
21 7
38 7
20 13
24 10
21 9
16 10
16 12
22 12
28 9
28 11
17 16
25 11
26 10
32 9
27 8
31 7
34 7
26 6
35 4
35 6
35 5
39 7
35 8
38 5
33 5
35 10
32 7
34 1
33 4
35 11
18 11
25 8
29 8
29 12
22 10
